tbl_sentiment_analysis_title,tbl_sentiment_analysis_description,tbl_sentiment_analysis_category,tbl_sentiment_analysis_url,tbl_sentiment_analysis_image,tbl_sentiment_analysis_provider,tbl_sentiment_analysis_datePublished,tbl_sentiment_analysis_sentiment
"""Cheap Politics Ruining Rutu's Career""- Top 10 funny memes after India's comfortable win vs Zimbabwe in 5th T20I","Team India beat Zimbabwe comfortably by 42 runs in the fifth T20I on Sunday, July 14, at the Harare Sports Club in Harare. Courtesy of the win, the visiting team won the 5-match series by a 4-1 margin.",Sports,https://www.msn.com/en-us/sports/other/cheap-politics-ruining-rutus-career-top-10-funny-memes-after-indias-comfortable-win-vs-zimbabwe-in-5th-t20i/ar-BB1pYd0y,https://www.bing.com/th?id=OVFT.Yrb1aIOVRBYHf2RkhgJq2i&pid=News,Sportskeeda on MSN.com,14 July 2024,positive
‘House of the Dragon’: Were Rhaenyra’s New Dragonriders Already Revealed?,"Inspired by a conversation with son Jace (Harry Collett) in Season 2 Episode 5, Rhaenyra (Emma D’Arcy) is now exploring the possibility of finding dragonriders in Targaryen descendants. The episode’s final scene may have just made a moment from Episode 3,",Entertainment,https://www.msn.com/en-us/tv/news/house-of-the-dragon-were-rhaenyra-s-new-dragonriders-already-revealed/ar-BB1q25xz,https://www.bing.com/th?id=OVFT.U12UyYtszr4snyvldkNVmS&pid=News,TV Insider on MSN.com,15 July 2024,neutral
‘Major surgery’ in Pakistan cricket begins as PCB rolls out sweeping reforms,"Mohammad Yousuf, Asad Shafiq, current team captains up for selection committee; rigorous fitness assessments on charts",Sports,https://tribune.com.pk/story/2479903/major-surgery-in-pakistan-cricket-begins-as-pcb-rolls-out-sweeping-reforms,https://www.bing.com/th?id=OVFT.xuHeK-aEnarkmtMbX5lYwy&pid=News,The Express Tribune,15 July 2024,neutral
"“Toxic” political polarisation in US, says former diplomat; Biden camp afraid of potential ‘Trump Tsunami’","American democracy is currently highly polarised politically and those rooting for a return of Joe Biden as US President are worried about Democrats losing in a potential “Trump Tsunami,” according to retired diplomat KP Fabian.",Politics,https://theprint.in/world/toxic-political-polarisation-in-us-says-former-diplomat-biden-camp-afraid-of-potential-trump-tsunami/2175091/,https://www.bing.com/th?id=OVFT.-2jGxk5SJouHk-SL8jO1FS&pid=News,ThePrint,15 July 2024,negative
"2024 MLB Home Run Derby loses its excitement factor thanks to new rules, even with nail-biter finish",A monster shot. The 2015 Derby remains my favorite iteration of the event -- 2019 was probably higher quality -- because it was so new and amazingly exciting now with a clock to follow. It helped that then-Reds slugger Todd Frazier won in front of the ...,Sports,https://www.cbssports.com/mlb/news/2024-mlb-home-run-derby-loses-its-excitement-factor-thanks-to-new-rules-even-with-nail-biter-finish/,https://www.bing.com/th?id=OVFT.bKSDpsj6iIyFd-miquyUky&pid=News,CBSSports.com,16 July 2024,mixed
A dark and dangerous new chapter for American politics,Trump received only minor injuries but it was close - a photograph by Doug Mills of the New York Times appears to show the streak of a bullet cutting through the air near the former president’s head. Not since Ronald Reagan was shot by John Hinkley Jr in ...,World,https://www.msn.com/en-us/news/politics/a-dark-and-dangerous-new-chapter-for-american-politics/ar-BB1pWyIL,https://www.bing.com/th?id=OVFT.k4LrVvs5H4gIl_5a5q5xFy&pid=News,BBC on MSN.com,14 July 2024,negative
A New York Official Is Filling Community Boards With Pro-Housing Members,"New York City community boards are known for rejecting development. In Manhattan, one politician is revamping them with appointees who say they are committed to easing the housing crisis.",Politics,https://www.nytimes.com/2024/07/15/nyregion/housing-development-community-boards-mark-levine.html,https://www.bing.com/th?id=OVFT.RoADAZpuIG8EIqiPrMC7kC&pid=News,The New York Times,15 July 2024,neutral
"AFL 2024: Round 18 Report Card, highlights, every club reviewed and graded, best and worst players, stats, latest news",Watch every game of every round this Toyota AFL Premiership Season LIVE with no ad-breaks during play on Kayo. New to Kayo? Start your free trial today > ADELAIDE CROWS. The Crows,Sports,https://www.foxsports.com.au/afl/afl-2024-round-18-report-card-highlights-every-club-reviewed-and-graded-best-and-worst-players-stats-latest-news/news-story/aff2e303fa3c2a9e1688bdf31f106830,https://www.bing.com/th?id=OVFT.rJSe3j1-ih3AsASX_jiuoS&pid=News,Fox Sports,14 July 2024,positive
"After retiring from T20I, Rohit Sharma reveals his stand on international cricket career future","Veteran Indian cricketer Rohit Sharma announced his T20I retirement after lifting the ICC T20 World Cup 2024 in Barbados on June 29. The Men in Blue defeated South Africa in the grand finale by seven runs and lifted the T20 World Cup after a span of 17 years. Previously, the Indian side won the inaugural edition of the global tournament in 2007.",Sports,https://khelnow.com/cricket/rohit-sharma-on-cricket-career-future-202407,https://www.bing.com/th?id=OVFT.x2SdOWmZauKX-irRJrny9i&pid=News,Khel Now,15 July 2024,neutral
"Amazon Prime Day NEW LAUNCHES are here - Smartphones, Laptops, Electronics, Home and Kitchen and many more","Check out the latest Amazon Prime Day 2024 new launches across a range of categories, including smartphones, laptops, electronics, home and kitchen appliances, and more.",ScienceAndTechnology,https://economictimes.indiatimes.com/top-trending-products/news/amazon-prime-day-2024-new-launches-are-here/articleshow/111712461.cms,https://www.bing.com/th?id=OVFT.xlbqzm8edSPmAYFIXMKNjC&pid=News,Indiatimes,13 July 2024,neutral
Andre Russell breaks Travis Head's bat during Major League Cricket match - WATCH,"During the Major League Cricket match between Los Angeles Knight Riders and Washington Freedom at the Church Street Park in Morrisville on Sunday, a p",Sports,https://www.msn.com/en-in/entertainment/tv/watch-police-evict-ticketless-people-as-fans-try-to-sneak-into-stadium-ahead-of-copa-america-final/ar-BB1pZf8B,https://www.bing.com/th?id=OVFT.J35LKyr7eyELam2bu9dlgS&pid=News,The Times of India on MSN.com,15 July 2024,neutral
"Arsenal transfer news LIVE: Riccardo Calafiori LATEST ‘personal terms AGREED’ for switch, Gunners REJECT Nketiah bid","ARSENAL are closing in on Riccardo Calafiori – with personal reportedly terms agreed for Bologna’s £27m defender. Meanwhile, Arsenal are also interested in Spanish youngster Nico",Sports,https://www.thesun.co.uk/sport/27840895/arsenal-transfer-news-live-riccardo-calafiori-bentley-updates/,https://www.bing.com/th?id=OVFT.Z-VuB6-tRtEa69263i3SQC&pid=News,The Sun,13 July 2024,neutral
Arsenal transfer news: Mikel Arteta spells out concern as Declan Rice eyes history,Arsenal's transfer plans have been tweaked because of the Premier League's financial rules contribution to a quieter window than in past summers but Mikel Arteta is still keen on several targets,Sports,https://www.mirror.co.uk/sport/football/news/arsenal-transfer-news-mikel-arteta-33236675,https://www.bing.com/th?id=OVFT.SMvLegWpiIit2doyWL0xLi&pid=News,The Mirror,14 July 2024,neutral
"Aston Villa transfer news live - Major £50m Onana update, medicals booked, Philogene move explained",There has been quite a bit of movement with Lewis Dobbin having signed from Everton and Tim Iroegbunam heading the opposite way - both deals separate from one another. Villa also secured the £37.5m signing of Ian Maatsen from Chelsea and sold Douglas Luiz to Juventus for 50m Euros.,Sports,https://www.birminghammail.co.uk/sport/football/transfer-news/villa-transfers-live-philogene-diaby-29409294,https://www.bing.com/th?id=OVFT.XUmsfPzP_8srST3LZPrkCy&pid=News,Birmingham Mail,13 July 2024,neutral
